Name,Shortname,Id,Description,Stacksize
Card Table,cardtable,1081921512,A table for playing card games,1
Carvable Pumpkin,carvable.pumpkin,1524980732,A pumpkin that you can carve.Requires wood as a fuel source.,1
Cassette - Long,cassette,476066818,A tape that you can record audio on to using a Cassette Recorder. Stores up to 30s of audio.,1
Cassette - Medium,cassette.medium,-912398867,A tape that you can record audio on to using a Cassette Recorder. Stores up to 20s of audio.,1
Cassette - Short,cassette.short,1523403414,A tape that you can record audio on to using a Cassette Recorder. Stores up to 10s of audio.,1
Cassette Recorder,fun.casetterecorder,-1530414568,"Insert a cassette and play the recorded audio with [attack], [attack2] to record new audio and [+reload] to throw.",1
Catfish,fish.catfish,-587989372,"A large, whiskered fresh water based predator. Eats everything, so you never know what you'll find in it's stomach.",5
CCTV Camera,cctv.camera,634478325,A CCTV Camera system can be used for realtime surveillance and security around your base when powered and paired with the Computer Station.,64
Ceiling Light,ceilinglight,1142993169,A small ceiling mounted light source.,10
Chainlink Fence,wall.frame.fence,-1117626326,A Chainlink Fence.,10
Chainlink Fence Gate,wall.frame.fence.gate,1451568081,A Chainlink Fence Gate.,1
Chainsaw,chainsaw,1104520648,A Chainsaw. Very effective at cutting trees in addition to soft fleshy objects. Requires Low Grade Fuel to run.,1
Chair,chair,1534542921,Every home needs a chair. A decorative item which provides comfort while seated.,5
Champagne Boomer,firework.boomer.champagne,1324203999,A very large mortar type firework with an massive champagne colored explosion followed by smaller orange starbursts,20
Charcoal,charcoal,-1938052175,Byproduct from campfires and furnaces used for crafting gunpowder.,1000
Chinese Lantern,chineselantern,-1916473915,A decorative Paper lantern,1
Chippy Arcade Game,arcade.machine.chippy,359723196,An Arcade Machine,1
Chocolate Bar,chocolate,-965336208,"Chocolate Bar found as loot. Eating it provides a small boost to health, hunger, and thirst.",10
Christmas Door Wreath,xmasdoorwreath,2009734114,Get into the christmas spirit with this holiday door wreath.,1
Christmas Lights,xmas.lightstring,1058261682,A string of colored lights to decorate your home,20
Christmas Tree,xmas.tree,794443127,Get into the holiday spirit with this decorative Christmas tree,1
Clan Table,clantable,486661382,A table for managing clans.,1
Clatter Helmet,clatter.helmet,968019378,A special item for those who own Clatter.,1
Cloth,cloth,-858312878,"Cloth from an animal or a Hemp Bush. Used in many clothing items, weapons, and more.",1000
Coal 🙁,coal,204391461,Crappy Holidays!,1
Cockpit Vehicle Module,vehicle.1mod.cockpit,-1501451746,Single module cockpit for a driver and one passenger.,1
Cockpit With Engine Vehicle Module,vehicle.1mod.cockpit.with.engine,170758448,"Single module cockpit for a driver and one passenger, with a small engine.",1
Code Lock,lock.code,1159991980,An electronic lock. Locked and unlocked with four-digit code.,10
Coffee Can Helmet,coffeecan.helmet,-803263829,A Coffee Can Helmet. It provides a level of regional protection from inflicted damage.,1
Coffin,coffin.storage,573676040,"An old wooden coffin, can store up to 42 items",1
Combat Knife,knife.combat,2040726127,"Combat knife designed for close combat engagements, can attack while sprinting. Best in class at harvesting flesh.",1
Composter,composter,-1488398114,Produces fertilizer from compostable items.,1
Compound Bow,bow.compound,884424049,A very powerful bow. Can only be fully drawn while stationary. Keep still for bonus damage and speed.,1
Computer Station,computerstation,-1588628467,A Computer station for remote control access,1
Concrete Barricade,barricade.concrete,-1950721390,A barricade made out of Stones.,10
Concrete Hatchet,concretehatchet,1176355476,A salvaged piece of concrete and rebar which can be used to harvest wood,1
Concrete Pickaxe,concretepickaxe,-1360171080,"A salvaged piece of concrete and rebar with a sharp edge. Can be used to harvest Stone, Metal ore and Sulfur ore.",1
Connected Speaker,connected.speaker,968421290,A small speaker that will play any audio from a connected Boom Box.,5
Cooked Bear Meat,bearmeat.cooked,1873897110,"Delicious Bear Meat, Eating it will restore some health, hunger, and thirst.",20
Cooked Chicken,chicken.cooked,-1848736516,"Cooked chicken. Eating it will restore some health, hunger, and thirst.",20
Cooked Deer Meat,deermeat.cooked,-1509851560,"Cooked Deer Meat. Eating it will restore some health, hunger, and thirst.",20
Cooked Fish,fish.cooked,1668129151,"Cooked Fish. Eating it provides a small boost to health, hunger, and thirst.",20
Cooked Horse Meat,horsemeat.cooked,-1162759543,"Cooked Horse Meat. Eating it will restore some health, hunger, and thirst.",20
Cooked Human Meat,humanmeat.cooked,1536610005,"Salty meat from a human being, eating this will restore some hunger and health but reduces hydration. Maybe you should look for a better food source.",20
Cooked Pork,meat.pork.cooked,-242084766,"Cooked pork, Eating it will restore some health, hunger, and thirst.",20
Cooked Wolf Meat,wolfmeat.cooked,813023040,"Cooked Wolf Meat. Eating it will restore some health, hunger, and thirst.",20
Corn,corn,1367190888,"An ear of corn. Eating it provides a small boost to health, hunger, and thirst.",20
Corn Clone,clone.corn,-778875547,A Clipping of a Corn Plant.,50
Corn Seed,seed.corn,998894949,"Corn seeds can be found when picking wild Corn plants. These seeds can be planted in the ground and grown to collect additional food. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more Corn and faster groth.",50
Counter,electric.counter,-216999575,"A basic cathode ray tube screen combined with an incremental counter. Can display power received, or can count upwards and allow passthrough when a target is reached.",5
Cowbell,fun.cowbell,-1049881973,"A road sign that's been repurposed to produce some beautiful, calming, percussion.",1
Crate Costume,cratecostume,1189981699,A sneaky crate costume. Use with a friend to expertly troll other players,1
Crossbow,crossbow,1965232394,A very accurate ranged weapon.,1
Crude Oil,crude.oil,-321733511,"Raw Oil out of the ground, must be refined in a refinery to be used.",500
Cultist Deer Torch,torch.torch.skull,-1175656359,Cultist Deer Torch,1
Cursed Cauldron,cursedcauldron,1242522330,A spooky cast iron cauldron with a green goo.,1
Custom SMG,smg.2,1796682209,A rapid-firing Machine Gun. Sacrifices accuracy and distance for speed.,1
Decorative Baubels,xmas.decoration.baubels,-1667224349,Decorative Baubels you can hang on your Christmas tree,1
Decorative Gingerbread Men,xmas.decoration.gingerbreadmen,1686524871,Decorative Gingerbread Men you can hang on your Christmas tree,1
Decorative Pinecones,xmas.decoration.pinecone,-129230242,Decorative Pinecones you can hang on your Christmas tree,1
Decorative Plastic Candy Canes,xmas.decoration.candycanes,-209869746,Decorative Plastic Candy Canes you can hang on your Christmas tree,1
Decorative Tinsel,xmas.decoration.tinsel,2106561762,Decorative Tinsel you can hang on your Christmas tree,1
Deluxe Christmas Lights,xmas.lightstring.advanced,-151387974,"Colored, Animated, Powered Lights. Requires 5 electricity. Click to start placement, right click to end. Each unit is 0.5m long.",150
Diesel Fuel,diesel_barrel,1568388703,Appropriate fuel for the excavator,20
Disco Ball,discoball,1895235349,Get groovy with this stunning disco ball.,5
Disco Floor,discofloor.largetiles,1735402444,A vibrant flashing floor that pulses in time to music.,5
Disco Floor,discofloor,286648290,A vibrant flashing floor that pulses in time to music.,5
Diving Fins,diving.fins,296519935,Diving Fins which greatly increase underwater movement,1
Diving Mask,diving.mask,-113413047,A Diving Mask. Provides clear vision under water.,1
Diving Tank,diving.tank,-2022172587,An oxygen tank that enables breathing under water for a period of time. Can be refilled at a workbench.,1
Dog Tag,dogtagneutral,1223900335,Neutral Dog Tag,5000
Door Closer,door.closer,1409529282,Auotmatically closes your doors when left open.,1
Door Controller,electric.doorcontroller,-502177121,A Door Controller. Will manipulate the state of the closest door when it receives power,5
Door Key,door.key,-1112793865,"A key to a door, created from a Lock. Keep this item safe; if lost you'll be unable to open the door again!",1
Double Barrel Shotgun,shotgun.double,-765183617,A Shotgun with two barrels allowing two shots to be fired in quick succession before needing to reload.,1
Double Horse Saddle,horse.saddle.double,-1323101799,"A horse saddle with two seats. Having this item allows you to claim a horse in a stable by holding E and selecting the ""Claim"" option",1
Double Sign Post,sign.post.double,1521286012,A double sign post that you can plant into terrain.,5
Dragon Door Knocker,dragondoorknocker,-854270928,A heavy brass door knocker,1
Dragon Mask,hat.dragonmask,-22883916,A special dragon mask to celebrate Chinese New Year,1
Drone,drone,1588492232,A remote controlled drone operated from the Computer station with a limited range. Easily damaged from impacts.,1
Drop Box,dropbox,-1519126340,This item can be deployed on walls so that players can input items from the exterior of the building for safe keeping. You can only access the submitted contents of the Drop Box from the rear.,5
Duct Tape,ducttape,1401987718,A versatile adhesive tape reinforced with cloth.,20
Duo Submarine,submarineduo,1015352446,A small two-person submarine.,1
Easter Door Wreath,easterdoorwreath,-979302481,"A beautiful, hand crafted Easter themed door wreath.",1
Egg Basket,easterbasket,1856217390,An easter egg basket. Equip to pick up eggs during an easter egg hunt with left click. Use right click to throw,1
Egg Suit,attire.egg.suit,-747743875,"An eggsquisite egg costume, can be painted when unequipped.",1
Egg Suit Sign Test,sign.egg.suit,-394470247,A 1-meter by 0.5-meter wooden sign that you can write on.,5
Electric Furnace,electric.furnace,-1196547867,An electrical version of a furnace that uses electricity instead of a fuel source.,1
Electric Fuse,fuse,-629028935,An unreliable electric fuse. Will allow electrical passthrough for a period of time.,10
Electric Heater,electric.heater,-784870360,Provides warmth in a radius when on,5
Electrical Branch,electrical.branch,-1448252298,This object allows you to branch power off from a main line by a set amount.,5
Elevator,elevator,1177596584,A powered elevator. Place another elevator above or below this to connect it. Requires power.,5
Empty Can Of Beans,can.beans.empty,1655979682,An empty Can of Beans. Can be smelted into Metal Fragments.,10
Empty Propane Tank,propanetank,-1673693549,Strong metal object.,5
Empty Tuna Can,can.tuna.empty,-1557377697,An empty Can of Tuna. Can be smelted into Metal Fragments.,10
Engine Vehicle Module,vehicle.1mod.engine,1559779253,Single module large engine.,1
Eoka Pistol,pistol.eoka,-75944661,"A very cheap, very ineffective, and very unreliable pistol that fires shells.",1
Explosive 5.56 Rifle Ammo,ammo.rifle.explosive,-1321651331,This ammo explodes on contact dealing a small amount of fragmentation damage to nearby objects.,128
Explosives,explosives,-592016202,A component used for crafting C4 and Rockets.,100
Extended Magazine,weapon.mod.extendedmags,2005491391,Larger magazine size,1
F1 Grenade,grenade.f1,143803535,Reliable explosive device.,5
Factory Door,factorydoor,2054391128,"Medium strength door, vulnerable to explosives. Contains a bulletproof viewing portal",1
Fertilizer,fertilizer,-930193596,Helps plants grow by increasing ground condition. Produced in a composter.,1000
Festive Doorway Garland,xmas.door.garland,674734128,A Festive decoration to spruce up your doorway during the holdiays!,10
Festive Double Doorway Garland,xmas.double.door.garland,-1230433643,A Festive decoration to spruce up your double doorway during the holidays!,10
Festive Window Garland,xmas.window.garland,-1379835144,A Festive decoration to spruce up your windows during the holdiays!,10
Fire Arrow,arrow.fire,14241751,"A fuel soaked arrow, ignite it by aiming.",64
Firecracker String,lunar.firecrackers,-1961560162,Happy Lunar New Year!,5
Fishing Tackle,fishing.tackle,-1707425764,Fishing Tackle,1
Flame Thrower,flamethrower,-1215753368,A Flamethrower. Uses low grade fuel as ammunition.,1
Flame Turret,flameturret,528668503,Automated Flame turret. Requires Low Grade Fuel. Sprays flames when triggered.,1
Flare,flare,304481038,Light up the night sky with this brand new red flare!,5
Flashbang,grenade.flashbang,-936921910,A bright explosive device which blinds and disorients anyone near it upon detonation,5
Flasher Light,electric.flasherlight,-939424778,A flashing blue light,5
Flashlight,flashlight.held,-196667575,A powerful flashlight which illuminates your surroundings and can be used as a weapon.,1
Flatbed Vehicle Module,vehicle.1mod.flatbed,-1880231361,Single module flatbed.,1
Floor grill,floor.grill,936496778,A floor grill must be placed in floor frames. Perfect for placing above a large furnace.,10
Floor triangle grill,floor.triangle.grill,1983621560,A floor grill must be placed in floor frames. Perfect for placing above a large furnace.,10
Fluid Combiner,fluid.combiner,-265292885,Combines three separate fluid connections into one connection.,5
Fluid Splitter,fluid.splitter,-1166712463,Splits a fluid connection into three separate connections.,5
Fluid Switch & Pump,fluid.switch,443432036,A simple switch that enables fluid to pass through. Can be switched on/off manually or via electricity. Can also pump water upwards to higher entities when powered.,1
Fogger-3000,fogmachine,-1973785141,A Fog machine which runs on low grade fuel. Can be set to fill an area with a dense fog or triggered by motion.,1
Frankenstein Table,frankensteintable,1575635062,"Place a monsters head, torso and legs into the table to summon Frankensteins monster.",1
Fridge,fridge,1413014235,A fridge you can store food into!,1
Frog Boots,boots.frog,-1000573653,Thank you for playing the game through its early access run. Enjoy these boots made from radiation resistant frog rubber.,1
Fuel Tank Vehicle Module,vehicle.2mod.fuel.tank,1186655046,Dual module large fuel tank.,1
Furnace,furnace,-1999722522,A Furnace. Use it to smelt mined ore.,1
Garage Door,wall.frame.garagedoor,-148794216,A garage door that rolls up and down.,1
Garry's Mod Tool Gun,toolgun,1803831286,Celebrating 15 Years of Garry's Mod! Use this tool gun to upgrade building parts. Right-click for the options. You can also pick up deployed objects while the hammer is equipped.,1
Gas Mask,hat.gas.mask,1659114910,A Gas Mask,1
Gears,gears,479143914,"A selection of gears. Some functional, some not.",20
Geiger Counter,geiger.counter,999690781,A geiger counter used by scientists,1
Generic vehicle chassis,vehicle.chassis,1770744540,Generic vehicle chassis,1
Generic vehicle module,vehicle.module,878301596,Generic vehicle module,1
Ghost Costume,ghostsheet,-1043618880,Definitely not a last minute costume idea.,1
Giant Candy Decor,giantcandycanedecor,-695124222,Get into the holiday spirit with this decorative inflated giant candy cane,1
Giant Lollipop Decor,giantlollipops,282103175,Get into the holiday spirit with these decorative giant lollipops,1
Gingerbread Suit,gingerbreadsuit,-558880549,"A suit made of gingerbread, slightly crunchy.",1
Glowing Eyes,gloweyes,-690276911,glowing eyes,1
Glue,glue,-1899491405,A strong adhesive.,10
Gold Egg,easter.goldegg,-1002156085,A Gold Egg. Containing the best easter loot.,10
Granola Bar,granolabar,-746030907,"Granola Bar found as loot. Eating it provides a small boost to health, hunger.",10
Gravestone,gravestone,809199956,A Gravestone marking the remains of an unknown soul,1
Graveyard Fence,wall.graveyard.fence,-1679267738,A Spooky Fence,10
Gray ID Tag,grayidtag,-455286320,Gray ID Tag,5000
Green Berry,green.berry,858486327,A green berry. Can be eaten or used in mixing table recipes to create teas.,20
Green Berry Clone,clone.green.berry,-1305326964,A clipping of a Green Berry Plant.,50
Green Berry Seed,seed.green.berry,-1776128552,"These green berry seeds can be planted in the ground and grown to collect additional food. Planting these seeds in a planter, and then watering them with large quantities of water yields significantly more Corn and faster groth.",50
Green Boomer,firework.boomer.green,-656349006,A very large mortar type firework with a green starburst,20
Green ID Tag,greenidtag,1762167092,Green ID Tag,5000
Green Industrial Wall Light,industrial.wall.light.green,1268178466,A small green light source.,10
Green Keycard,keycard_green,37122747,A low level clearance card granting access to basic areas.,1
Green Roman Candle,firework.romancandle.green,-1306288356,"A small repeating firework, shoots a series of Green balls into the air",20
Grub,grub,-568419968,"A pale, fleshy insect that can be used for bait. Could also be eaten in desperate situations.",20
Gun Powder,gunpowder,-265876753,"Made from Sulfur and Charcoal, a key ingredient of anything that goes bang!",1000
Hab Repair,habrepair,-1759188988,Hab repair,1
Halloween Candy,halloween.candy,-888153050,Some loose halloween candy Collect 10 to upgrade to a Small Loot Bat!,1000
Hammer,hammer,200773292,"A Hammer, used to upgrade building materials. Right-click for the options. You can also pick up deployed objects while the hammer is equipped.",1
Handmade Fishing Rod,fishingrod.handmade,1569882109,Use [attack2] to cast out the line and wait for a bite. Requires bait.,1
Handmade Shell,ammo.handmade.shell,588596902,Shoddy ammo with multiple projectiles.,64
Hatchet,hatchet,-1252059217,"A Hatchet, useful for chopping trees and dismembering corpses.",1
Hazmat Suit,hazmatsuit,1266491000,A hazmat suit made from radiation resistant rubber.,1
HBHF Sensor,electric.hbhfsensor,-1507239837,"A Heartbeat, Breathing, Humidity and Footstep sensor. Passthrough is equal to the number of humans detected in a 10m radius",1
Headset,twitch.headset,-1569700847,Every gamer needs a headset! - Gained from Rust's first Twitch drop event.,1
